編號,案類,發生(現)日期,發生時段,發生(現)地點,lat,long
220,住宅竊盜,1040508,13~15,台北市北投區大屯里復興三路521巷1~30號,25.1603864,121.49975310000002
221,住宅竊盜,1040509,10~12,台北市士林區聖山里20鄰忠義街46巷1~30號,25.105665,121.53059840000003
222,住宅竊盜,1040510,04~06,台北市大安區虎嘯里樂業街15巷1~30號,25.0240174,121.55006260000005
223,住宅竊盜,1040510,10~12,台北市內湖區新明路380巷9弄1~30號,25.0558524,121.58080050000001
224,住宅竊盜,1040510,13~15,台北市中山區中山北路一段91~120號,25.0506682,121.52229069999999
225,住宅竊盜,1040511,22~24,台北市萬華區萬大路322巷55弄1~30號,25.0244988,121.49842190000004
226,住宅竊盜,1040512,10~12,台北市北投區開明里珠海路107巷1~30號,25.141253,121.504817
227,住宅竊盜,1040512,13~15,台北市中正區文祥里金山南路一段91~120號,25.036704,121.5280765
228,住宅竊盜,1040512,19~21,台北市松山區延壽街61~90號,25.0572196,121.56766479999999
229,住宅竊盜,1040514,10~12,台北市內湖區康寧路三段245巷31~60號,25.0701643,121.60946289999993
230,住宅竊盜,1040514,10~12,台北市文山區樟新里木新路三段301~330號,24.9805281,121.55533839999998
231,住宅竊盜,1040515,10~12,台北市內湖區康寧路一段156巷7弄1~30號,25.0788611,121.5934277
232,住宅竊盜,1040515,10~12,台北市內湖區麗山街46巷5弄1~30號,25.0811139,121.58009530000004
233,住宅竊盜,1040515,19~21,台北市北投區榮光里致遠一路二段40巷1弄1~30號,25.1118595,121.51455579999993
234,住宅竊盜,1040518,10~12,台北市中正區黎明里信陽街1~30號,25.0447073,121.5168764
235,住宅竊盜,1040521,16~18,台北市北投區文化里文化三路1~30號,25.1382493,121.49795210000002
236,住宅竊盜,1040521,22~24,台北市士林區福志里24鄰中山北路五段756巷1~30號,25.0995766,121.52719430000002
237,住宅竊盜,1040522,16~18,台北市中正區板溪里南昌路二段91~120號,25.025684,121.52230910000003
238,住宅竊盜,1040523,10~12,台北市松山區南京東路五段291巷44弄1~30號,25.0518185,121.55736739999998
239,住宅竊盜,1040523,10~12,台北市松山區南京東路五段59巷28弄1~30號,25.0518185,121.55736739999998
240,住宅竊盜,1040525,19~21,台北市文山區試院里木柵路一段31~60號,24.988202,121.54475300000001
241,住宅竊盜,1040526,04~06,台北市北投區洲美里洲美街81巷1~30號,25.0988837,121.50690299999997
242,住宅竊盜,1040526,16~18,台北市中山區錦州街181~210號,25.0604617,121.53094320000002
243,住宅竊盜,1040526,22~24,台北市中山區林森北路119巷1~30號,25.0508342,121.52525319999995
244,住宅竊盜,1040528,04~06,台北市文山區萬祥里興隆路一段70巷1~30號,25.003326,121.54068899999993
245,住宅竊盜,1040528,19~21,台北市士林區永倫里6鄰社中街426巷1~30號,25.0919276,121.50238020000006
246,住宅竊盜,1040529,16~18,台北市大同區斯文里承德路三段85巷1~30號,25.0660801,121.51880779999999
247,住宅竊盜,1040529,22~24,台北市大同區光能里南京西路31~60號,25.0528814,121.52004510000006
248,住宅竊盜,1040531,22~24,台北市文山區興得里興隆路三段192巷8弄31~60號,24.999923,121.5560868
249,住宅竊盜,1040531,22~24,台北市信義區大道里林口街151~180號,25.0408363,121.58127489999993
250,住宅竊盜,1040601,22~24,台北市中山區八德路二段241~270號,25.0469284,121.5407649
251,住宅竊盜,1040602,13~15,台北市北投區泉源里東昇路91~120號,25.1581079,121.53161499999999
252,住宅竊盜,1040603,16~18,台北市中山區長安東路二段31~60號,25.048623,121.53117850000001
253,住宅竊盜,1040606,04~06,台北市中山區錦州街31~60號,25.0604257,121.5264588
254,住宅竊盜,1040606,10~12,台北市松山區南京東路五段123巷8弄1~30號,25.0518185,121.55736739999998
255,住宅竊盜,1040606,19~21,台北市松山區八德路三段12巷52弄1~30號,25.0461321,121.5505789
256,住宅竊盜,1040607,07~09,台北市中山區中山北路二段65巷2弄1~30號,25.0524875,121.52284199999997
257,住宅竊盜,1040607,10~12,台北市大安區民炤里新生南路一段137巷1~30號,25.0371275,121.53316389999998
258,住宅竊盜,1040608,07~09,台北市中山區民權東路一段31~60號,25.0629946,121.52410520000001
259,住宅竊盜,1040608,13~15,台北市士林區福林里中山北路五段460巷1~30號,25.092044,121.527965
260,住宅竊盜,1040608,22~24,台北市中山區長春路61~90號,25.0550232,121.52682959999993
